ID,name,maps_url,,sign_type
1,down summer cutoff,"https://www.google.com/maps/place/3030+Summer+Cutoff+Rd,+Bozeman,+MT+59715/@45.7499842,-111.0423233,3a,75y,178.53h,84.49t/data=!3m7!1e1!3m5!1s912UT21FmIkeeCU9eG-CrA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.507124196943664%26panoid%3D912UT21FmIkeeCU9eG-CrA%26yaw%3D178.53067320812497!7i16384!8i8192!4m5!3m4!1s0x5345412a67dbc659:0x549c8a6d32783699!8m2!3d45.7499485!4d-111.0418622?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
2,summer cutoff to Saddle,"https://www.google.com/maps/@45.7603128,-111.0404372,3a,75y,104.74h,74.14t/data=!3m7!1e1!3m5!1sPVrhCOyDtaAp43ivKKyD2w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.859258844894896%26panoid%3DPVrhCOyDtaAp43ivKKyD2w%26yaw%3D104.74422710595013!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
3,Mcllhattan,"https://www.google.com/maps/@45.7392475,-111.0606936,3a,75y,23.43h,81.41t/data=!3m7!1e1!3m5!1sl23M4IWbXXl4fRUFpOL2Aw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.592346321148128%26panoid%3Dl23M4IWbXXl4fRUFpOL2Aw%26yaw%3D23.42768747729582!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
4,walker rd 1,"https://www.google.com/maps/@45.7861479,-111.0452146,3a,75y,145.26h,70.99t/data=!3m7!1e1!3m5!1sB8f0hBIW_3CDqoo8FZDeZQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D19.00779192369903%26panoid%3DB8f0hBIW_3CDqoo8FZDeZQ%26yaw%3D145.25798034783185!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead text
5,down taby,"https://www.google.com/maps/place/Canary+Ln,+Montana+59715/@45.6545465,-110.990705,3a,75y,118.49h,78.6t/data=!3m7!1e1!3m5!1sdPAOr5lOIftFeQA0WaoxXg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D11.4047247994976%26panoid%3DdPAOr5lOIftFeQA0WaoxXg%26yaw%3D118.48814393312814!7i16384!8i8192!4m6!3m5!1s0x53454498a343ea49:0xcbcccb69d04caca9!8m2!3d45.6619239!4d-110.9908059!16s%2Fg%2F1tknk2y_?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
6,N Wallace train tracks,"https://www.google.com/maps/@45.6889636,-111.0282925,3a,75y,294.69h,76.2t/data=!3m7!1e1!3m5!1siIilvbacktU-p11w5lwgow!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D13.804614848647944%26panoid%3DiIilvbacktU-p11w5lwgow%26yaw%3D294.6901646740964!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
7,N Wallace Wild Crumb,"https://www.google.com/maps/@45.6860885,-111.0283849,3a,75y,243.56h,74.69t/data=!3m7!1e1!3m5!1sa-31PVfH1MjznzKhswYZRQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.312314993400875%26panoid%3Da-31PVfH1MjznzKhswYZRQ%26yaw%3D243.5646462588161!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
8,Peach,"https://www.google.com/maps/@45.6857139,-111.0261656,3a,75y,107.66h,68.37t/data=!3m7!1e1!3m5!1sbpF1cvuOI5PzVgkZM5O-qQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D21.627189961263312%26panoid%3DbpF1cvuOI5PzVgkZM5O-qQ%26yaw%3D107.66225447309753!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
9,Avocado,"https://www.google.com/maps/@45.6851596,-111.0245546,3a,75y,50.47h,77.6t/data=!3m7!1e1!3m5!1sylGeKNkN1Gh0paCRiKiBaA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D12.398376051786627%26panoid%3DylGeKNkN1Gh0paCRiKiBaA%26yaw%3D50.46981571304524!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
10,Fowler North,"https://www.google.com/maps/@45.6254752,-111.0833781,3a,75y,87.09h,70.39t/data=!3m7!1e1!3m5!1sBUOfDKbHSB6kHB2dCYqkiw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D19.609829052763928%26panoid%3DBUOfDKbHSB6kHB2dCYqkiw%26yaw%3D87.08905248480451!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead text
11,Fowler South,"https://www.google.com/maps/@45.592579,-111.0837378,3a,75y,234.34h,77.42t/data=!3m7!1e1!3m5!1set-g-8IlKaaDP_19fvM_Pw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D12.582504415854928%26panoid%3Det-g-8IlKaaDP_19fvM_Pw%26yaw%3D234.33670322370943!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
12,Nash 1,"https://www.google.com/maps/@45.6056529,-111.0504785,3a,75y,262.45h,64.5t/data=!3m7!1e1!3m5!1sIdbgL2JxmV1_Qv7azgEPZQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D25.504527098741093%26panoid%3DIdbgL2JxmV1_Qv7azgEPZQ%26yaw%3D262.44817539129116!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
13,Nash 2,"https://www.google.com/maps/@45.6056308,-111.0608796,3a,75y,346.45h,65.85t/data=!3m7!1e1!3m5!1sO2MjBxZ1wVBRNdwmJ3iGoA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D24.152227370035106%26panoid%3DO2MjBxZ1wVBRNdwmJ3iGoA%26yaw%3D346.45310736699616!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
14,Fort Ellis after Underpass,"https://www.google.com/maps/@45.6678696,-110.9806986,3a,75y,47.87h,90.43t/data=!3m7!1e1!3m5!1sJQE2FVc7GHiAmb1ZVEddyA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.42958443646905664%26panoid%3DJQE2FVc7GHiAmb1ZVEddyA%26yaw%3D47.86981049824033!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,stop ahead
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
